SampleId	#Total Reads	#Viral	#Human	#Bacterial	#Fungi	#Archaea
Sample_63	918827	1392	791210	137352	27462	6215
Sample_37	492536	1760	177482	258279	17571	29873
Sample_107	780520	880	689327	70602	13223	1863
Sample_194	2162656	210805	147143	1600501	70893	46426
Sample_183	2159772	1684337	344098	44718	14020	4358
Sample_111	5733214	5080644	167594	10637	3289	217
Sample_140	982127	2902	354625	582705	49538	42287
Sample_128	1093283	282021	563751	153836	114297	67626
Sample_169	2364319	39392	235970	1601564	20836	15276
Sample_153	978086	1689	688888	126134	18384	2748
Sample_94	924418	3900	746976	154802	19249	7001
Sample_77	72075	113	61357	12910	2093	756
Sample_12	642664	63104	526348	32341	7335	1481
Sample_13	1160773	46400	906477	157626	103537	36765
Sample_143	265628	10832	47173	170090	8236	4884
Sample_154	815168	41906	204678	380068	11991	4664
Sample_170	340410	128	147972	134004	3762	1480
Sample_78	1175462	423607	491311	175888	11517	2463
Sample_95	420184	58124	264715	85032	7168	7623
Sample_119	1224997	954	310869	673303	12047	6728
Sample_109	1200199	3397	986636	177382	22159	9260
Sample_38	101108	163	77074	28350	3055	1344
Sample_67	1164965	4776	259172	651559	14671	6380
Sample_184	2452027	331652	194861	1709984	76650	48756
Sample_196	507979	1427	340817	54604	3111	347
Sample_112	265606	559	10189	205650	9652	6830
Sample_175	985274	29108	80842	763794	34013	20364
Sample_157	3000089	1383536	55282	1176433	56278	18384
Sample_138	658430	18976	522816	93980	9051	5065
Sample_127	156900	134	81484	62697	3142	1579
Sample_19	2457806	21471	924822	1837506	125233	94286
Sample_200	1697878	1563	204901	1150523	33790	36192
Sample_97	1161135	1691	412097	578149	28013	10294
Sample_8	695650	1572	423383	250271	17786	10336
Sample_Undetermined	10003778	2724091	1760140	3169521	1453995	1422745
Sample_106	1314175	34193	773135	402046	20356	6233
Sample_6	239086	314	108578	76629	4625	2854
Sample_36	1057546	886	609016	154236	13603	4325
Sample_114	241115	411	194831	36859	4158	1351
Sample_193	1216527	343002	758227	28015	6646	1183
Sample_182	211358	90	182240	15605	2496	107
Sample_35	1542790	678749	261073	394553	27046	21538
Sample_56	1291399	21713	1123520	69909	10423	3536
Sample_Negative	N/A	N/A	N/A	N/A	N/A	N/A
Sample_105	1070969	44249	108104	718812	11324	5740
Sample_113	47540	99	41891	5135	985	270
Sample_180	3264465	9313	1217664	1825464	143289	211781
Sample_192	476563	190	339444	67140	1143	247
Sample_156	226582	41237	142982	20641	2743	436
Sample_171	1197090	1116	671401	322883	17562	5299
Sample_125	3364130	39669	173720	2745754	151501	95213
Sample_137	705820	1233	164542	416290	14517	19135
Sample_201	1691470	5977	480581	1312133	157897	64829
Sample_190	3061192	2091282	284689	470788	21221	23006
Sample_79	973242	9744	778650	152264	52496	26395
Sample_96	228039	128	73899	125880	9108	2873
Sample_9	2618604	705	202453	1860037	14263	9779
Sample_76	288147	116731	47142	136733	12653	9517
Sample_168	1787996	1343953	153994	134788	6847	3274
Sample_152	1105408	15220	115312	700099	36442	19625
Sample_4	653247	8132	88317	488670	154182	93705
Sample_68	1666724	78378	1253925	154318	38054	9018
Sample_134	1564371	51358	1137189	268240	24951	6607
Sample_11	1597070	15722	388859	1006628	199592	129537
Sample_121	586932	121323	122074	339864	33417	18292
Sample_118	2372496	1593368	143173	358311	17991	13118
Sample_198	2131782	1133	546404	1248327	41547	16848
Sample_186	2157362	358495	1059814	531450	33855	16582
Sample_52	3666762	3059801	237346	79520	3288	2376
Sample_21	1113877	2614	904476	186907	39833	13836
Sample_100	2760945	18403	1345276	1089092	56489	30939
Sample_130	1610650	24870	906133	546237	34366	12100
Sample_144	6559849	5202817	802452	118758	27074	2785
Sample_117	203138	514	162631	49275	7180	2974
Sample_185	1120671	84711	417707	514831	23257	15737
Sample_197	1439813	2012	1309243	135502	35334	10979
Sample_145	4075600	2686584	121003	956188	76695	43351
Sample_10	1435687	14211	246742	856525	9128	7498
Sample_131	1208685	456712	522610	140534	9098	3867
Sample_203	1186282	4370	989369	130804	11842	5299
Sample_51	1194085	388503	282146	411613	15971	8523
Sample_75	4400501	3494434	510230	125726	22385	7003
Sample_84	2483796	7937	1047273	1279751	88091	45698
Sample_150	1702435	17170	1299829	406487	52856	31537
Sample_167	239881	52692	85562	82692	4314	4339
Sample_110	1548764	4653	677040	756574	44675	26322
Sample_120	2831773	80480	1335897	1219851	67348	39989
Sample_132	1602316	215813	1161979	156543	26352	6095
Sample_72	580728	3910	159032	235306	9135	3211
Sample_5	827391	773	254441	471358	81777	50651
Sample_199	498049	1538	161312	319580	37811	15694
Sample_187	44548	144	33701	8442	1035	417
Sample_115	1722508	13061	164582	1361554	227165	165021
Sample_81	1286845	150867	687569	423501	30403	16610
Sample_99	572417	31000	66726	433651	35511	21752
Sample_159	913685	3841	303022	522010	12820	13302
Sample_18	442952	1224	357600	55933	9656	3879
Sample_101	859084	17188	727926	89600	15319	4264
Sample_53	1356809	2807	854859	398947	28956	8205
Sample_3	2636077	616	90548	2221807	54136	49812
Sample_82	1352235	56805	1152382	180166	33922	9904
Sample_73	2309097	1272029	844053	123977	29959	5622
Sample_135	7273	178	3107	3117	311	123
Sample_122	840710	1662	252566	450567	17265	6689
Sample_160	521690	22407	432623	22909	1830	356
Sample_146	847695	5058	52346	740563	46671	39782
Sample_74	1178457	3245	617823	479477	40629	15689
Sample_83	628004	902	555315	65036	13965	3431
Sample_124	236845	2548	199483	35746	4899	1789
Sample_136	2596107	88908	1120018	1272299	69712	63605
Sample_148	755302	11221	249761	377946	22686	10395
Sample_165	2955897	2411648	89044	192198	25179	14828
Sample_188	1117423	112399	350384	499055	17690	21194
Sample_20	1900954	114310	291327	1483275	177911	96868
Sample_116	912657	53613	250060	575919	101629	65940
Sample_98	4417427	3898637	199179	73468	8340	2490
Sample_80	1467073	2326	946154	390552	25665	11814
Sample_179	586719	738	264313	265923	9499	15317
Sample_158	1570551	1860	545605	806140	34537	19427
Sample_34	669191	3109	587455	72988	15679	3782
Sample_55	1070951	813	553312	403513	11682	6334
Sample_103	1212964	9037	798097	284016	21025	4471
